make fuel_type wheel_base length width height curb_weight num_of_doors body_style drive_wheels num_of_cylinders engine_type fuel_system aspiration engine_size bore stroke compression_rate peak_rpm horsepower normalized_losses highway_mpg
alfa-romero gas 88.6 168.8 64.1 48.8 2548 two convertible rwd four dohc mpfi std 130 3.47 2.68 9 5000 111 ? 27
alfa-romero gas 88.6 168.8 64.1 48.8 2548 two convertible rwd four dohc mpfi std 130 3.47 2.68 9 5000 111 ? 27
alfa-romero gas 94.5 171.2 65.5 52.4 2823 two hatchback rwd six ohcv mpfi std 152 2.68 3.47 9 5000 154 ? 26
audi gas 99.8 176.6 66.2 54.3 2337 four sedan fwd four ohc mpfi std 109 3.19 3.40 10 5500 102 164 30
audi gas 99.4 176.6 66.4 54.3 2824 four sedan 4wd five ohc mpfi std 136 3.19 3.40 8 5500 115 164 22
audi gas 99.8 177.3 66.3 53.1 2507 two sedan fwd five ohc mpfi std 136 3.19 3.40 8.5 5500 110 ? 25
audi gas 105.8 192.7 71.4 55.7 2844 four sedan fwd five ohc mpfi std 136 3.19 3.40 8.5 5500 110 158 25
audi gas 105.8 192.7 71.4 55.7 2954 four wagon fwd five ohc mpfi std 136 3.19 3.40 8.5 5500 110 ? 25
audi gas 105.8 192.7 71.4 55.9 3086 four sedan fwd five ohc mpfi turbo 131 3.13 3.40 8.3 5500 140 158 20
audi gas 99.5 178.2 67.9 52 3053 two hatchback 4wd five ohc mpfi turbo 131 3.13 3.40 7 5500 160 ? 22
bmw gas 101.2 176.8 64.8 54.3 2395 two sedan rwd four ohc mpfi std 108 3.50 2.80 8.8 5800 101 192 29
bmw gas 101.2 176.8 64.8 54.3 2395 four sedan rwd four ohc mpfi std 108 3.50 2.80 8.8 5800 101 192 29
bmw gas 101.2 176.8 64.8 54.3 2710 two sedan rwd six ohc mpfi std 164 3.31 3.19 9 4250 121 188 28
bmw gas 101.2 176.8 64.8 54.3 2765 four sedan rwd six ohc mpfi std 164 3.31 3.19 9 4250 121 188 28
bmw gas 103.5 189 66.9 55.7 3055 four sedan rwd six ohc mpfi std 164 3.31 3.19 9 4250 121 ? 25
bmw gas 103.5 189 66.9 55.7 3230 four sedan rwd six ohc mpfi std 209 3.62 3.39 8 5400 182 ? 22
bmw gas 103.5 193.8 67.9 53.7 3380 two sedan rwd six ohc mpfi std 209 3.62 3.39 8 5400 182 ? 22
bmw gas 110 197 70.9 56.3 3505 four sedan rwd six ohc mpfi std 209 3.62 3.39 8 5400 182 ? 20
